1990,sales (MwH),revenue ($1000)
"Interstate Power Co",3819059.0,176518.0
"Iowa Electric Light & Power Co",5733818.0,394190.0
"Iowa Southern Utilities Co",2586618.0,104783.0
"Iowa-Illinois Gas&Electric Co",3139822.0,190245.0
"Jackson Electric Member Corp",1912710.0,142978.0
"Jersey Central Power&Light Co",17221733.0,1870146.0
"Joe Wheeler Elec Member Corp",725922.0,46779.0
"Johnson City City of",1582885.0,83572.0
"Jones-Onslow Elec Member Corp",579862.0,54425.0
"Kansas City City of",2014837.0,105696.0
"Kansas City Power & Light Co",11303856.0,784110.0
"Kentucky Power Co",5801618.0,242666.0
"Kentucky Utilities Co",12669261.0,505408.0
"Kingsport Power Co",1904252.0,82030.0
"Knoxville City of",4720017.0,259383.0
"Kodiak Electric Assn Inc",118758.0,16738.0
"Lansing Board of Water & Light",2185352.0,115923.0
"Lenoir City City of",1022690.0,59044.0
"Lincoln City of",2138113.0,104437.0
"Long Island Lighting Co",15830631.0,2328245.0
"Los Angeles City of",21137097.0,1931148.0
"Louisiana Power & Light Co",28115234.0,1600290.0
"Louisville Gas & Electric Co",9774324.0,506300.0
"Loup River Public Power Dist",541783.0,22419.0
"Lower Valley Power & Light Inc",396534.0,20464.0
"Maine Public Service Company",530845.0,48782.0
"Massachusetts Electric Co",15448608.0,1453714.0
"Matanuska Electric Assn Inc",407240.0,40226.0
"Maui Electric Co Ltd",915730.0,113018.0
"McKenzie Electric Coop Inc",270438.0,16386.0
"Memphis City of",11769818.0,662060.0
"Middle Tennessee E M C",2600039.0,136640.0
"Midwest Power System Inc",9443083.0,573841.0
"Minnesota Power & Light Co",8127761.0,339090.0
"Mississippi Power & Light Co",10034134.0,808630.0
"Mississippi Power Co",7525420.0,367904.0
"Monongahela Power Co",8374267.0,448337.0
"Montana Power Co",7121001.0,330915.0
"Montana-Dakota Utilities Co",1893714.0,119673.0
"Moon Lake Electric Assn Inc",368747.0,21611.0
"Narragansett Electric Co",4718175.0,477572.0
"Nashville City of",10435080.0,557843.0
"Nebraska Public Power District",2647928.0,144748.0
"Nevada Power Co",10506751.0,620784.0
"New Hampshire Elec Coop, Inc",590901.0,74870.0
"New Orleans Public Service Inc",5327166.0,407065.0
"Newport Electric Corp",537088.0,61110.0
"Niagara Mohawk Power Corp",33522817.0,3046871.0
"Nodak Rural Electric Coop Inc",494980.0,25634.0
"Norris Public Power District",364948.0,19954.0
"Northeast Oklahoma Electric Co",341686.0,24108.0
"Northern Indiana Pub Serv Co",14252394.0,918033.0
"Northern States Power Co",31683126.0,1766324.0
"Northwestern Public Service Co",964476.0,65945.0
"Ohio Edison Co",21888276.0,1878248.0
"Ohio Power Co",30223994.0,1257596.0
"Ohio Valley Electric Corp",12008352.0,222117.0
"Oklahoma Electric Coop, Inc",528498.0,37745.0
"Oklahoma Gas & Electric Co",19255984.0,1188122.0
"Omaha Public Power District",6725969.0,392782.0
"Otter Tail Power Co",3055806.0,169260.0
"PUD No 1 of Clark County",3430255.0,125318.0
"PUD No 1 of Snohomish County",5838888.0,235686.0
"Pacific Gas & Electric Co",71106364.0,7542450.0
"Pacificorp dba Pacific Pwr & L",38004819.0,1753709.0
"Palmetto Electric Coop, Inc",801741.0,52210.0
"Pennsylvania Power & Light Co",29729714.0,2189732.0
"Philadelphia Electric Co",32370060.0,3203025.0
"Pierre Municipal Electric",143122.0,5998.0
"Portland General Electric Co",16557829.0,804231.0
"Potomac Edison Co",9561063.0,464450.0
"Potomac Electric Power Co",23367059.0,1588273.0
"Poudre Valley R E A, Inc",544883.0,29159.0
"Power Authority of State of NY",13169298.0,805022.0
"Provo City Corporation",534331.0,33290.0
"Public Service Co of Colorado",19523083.0,1168684.0
"Public Service Co of IN Inc",21013536.0,946481.0
"Public Service Co of NH",6294198.0,695687.0
"Public Service Co of NM",5044752.0,444406.0
"Public Service Co of Oklahoma",13597503.0,674673.0
"Public Service Electric&Gas Co",38154045.0,3609122.0
"Puget Sound Power & Light Co",18909577.0,1017926.0
"Rappahannock Electric Coop",1773859.0,111116.0
"Rosebud Electric Coop Inc",75262.0,3803.0
"Rutherford Elec Member Corp",784623.0,63212.0
"Sacramento Municipal Util Dist",8459221.0,651898.0
"Salt River Proj Ag I & P Dist",15689633.0,1191813.0
"San Antonio City of",12397199.0,763636.0
"Savannah Electric & Power Co",3315590.0,205894.0
"Seattle City of",8914888.0,320362.0
"Sierra Pacific Power Co",5834774.0,379645.0
"Singing River Elec Power Assn",818110.0,56320.0
"Sioux Valley Empire E A Inc",223606.0,17198.0
"South Carolina Electric&Gas Co",15883369.0,890962.0
"South Carolina Pub Serv Auth",7370739.0,291436.0
"South Kentucky Rural E C C",643283.0,40429.0
"Southern California Edison Co",69555337.0,7082014.0
"Southern Nebraska Rural P P D",364792.0,18225.0
"Southern Pine Elec Power Assn",1297763.0,79330.0
"Southwest Tennessee E M C",759112.0,46921.0
"Southwestern Electric Power Co",2894258.0,147513.0
"Southwestern Public Service Co",2868200.0,139804.0
"Springfield City of",2103040.0,96778.0
"St Joseph Light & Power Co",1428431.0,73371.0
"Tacoma City of",5545513.0,173450.0
"Tampa Electric Co",13446489.0,941573.0
"Tennessee Valley Authority",12119004.0,449357.0
"Texas Utilities Electric Co",80523630.0,4924556.0
"Texas-New Mexico Power Co",1408927.0,79098.0
"Tri-County Electric Assn Inc",1086678.0,59269.0
"Tucson Electric Power Co",6547494.0,561119.0
"Turner-Hutchinsin El Coop, Inc",77002.0,5302.0
"U S Bureau of Indian Affairs",248372.0,12757.0
"Union Electric Co",26436350.0,1723753.0
"Union Light Heat & Power Co",2971695.0,171749.0
"United Illuminating Co",5290325.0,611227.0
"Upper Cumberland E M C",723178.0,43831.0
"UtiliCorp United Inc",6224322.0,407020.0
"Verdigris Valley Electric Coop",323821.0,25614.0
"Verendrye Electric Coop Inc",249632.0,13362.0
"Virginia Electric & Power Co",58183547.0,3911135.0
"Volunteer Electric Coop",1430903.0,87355.0
"Wallingford Town of",543893.0,41765.0
"Warren Rural Elec Coop Corp",943860.0,60299.0
"Washington Water Power Co",7187127.0,340985.0
"Watertown Municipal Utils Dept",208911.0,8241.0
"Wells Rural Electric Co",373692.0,13783.0
"West Penn Power Co",16368845.0,870031.0
"West Plains Electric Coop Inc",195783.0,13794.0
"West River Electric Assn, Inc",122798.0,10125.0
"Western Massachusetts Elec Co",3610404.0,371713.0
"Western Resources Inc",15393674.0,970866.0
"Wisconsin Electric Power Co",20291047.0,1153491.0
"Wisconsin Power & Light Co",7796008.0,408590.0
"Wisconsin Public Service Corp",7905963.0,424512.0
"Wright-Hennepin Coop Elec Assn",398043.0,29697.0
"Yellowstone Vlly Elec Coop Inc",147851.0,8620.0
,,
,,
,,
1994,sales (MwH),revenue ($1000)
"4-County Electric Power Assn",743603.0,46946.0
"Alabama Power Co",42494185.0,2377449.0
"Alaska Electric Light&Power Co",286133.0,22078.0
"Anchorage City of",829611.0,66680.0
"Anoka Electric Coop",1085272.0,76539.0
"Appalachian Electric Coop",691471.0,40837.0
"Appalachian Power Co",25002445.0,1219261.0
"Arizona Public Service Co",17464834.0,1578550.0
"Arkansas Power & Light Co",15831925.0,1169144.0
"Arkansas Valley Elec Coop Corp",654719.0,38925.0
"Atlantic City Electric Company",8167855.0,856098.0
"Baker Electric Coop Inc",133433.0,9075.0
"Baltimore Gas & Electric Co",27453754.0,1990313.0
"Bangor Hydro-Electric Co",1651364.0,157935.0
"Berkeley Electric Coop Inc",935205.0,67757.0
"Black Hills Corp",1331562.0,84631.0
"Blackstone Valley Electric Co",1257974.0,133457.0
"Bonneville Power Admin",19725357.0,461269.0
"Boston Edison Co",12644002.0,1351630.0
"Bountiful City Light & Power",245906.0,12525.0
"Bristol City of",773482.0,40181.0
"Brookings City of",181418.0,7745.0
"Brunswick Electric Member Corp",590490.0,60657.0
"Burlington City of",327141.0,34130.0
"Carolina Power & Light Co",34524333.0,2292974.0
"Carroll Electric Coop Corp",795535.0,51662.0
"Cass County Electric Coop Inc",449987.0,22416.0
"Central Illinois Light Company",5460199.0,304107.0
"Central Illinois Pub Serv Co",8001447.0,520655.0
"Central Louisiana Elec Co Inc",6320306.0,359931.0
"Central Maine Power Co",9053137.0,880285.0
"Central Power & Light Co",17844843.0,1149761.0
"Central Vermont Pub Serv Corp",2048439.0,203822.0
"Chattanooga City of",5108019.0,267194.0
"Cheyenne Light Fuel & Power Co",763541.0,32396.0
"Chugach Electric Assn Inc",972867.0,85622.0
"Cincinnati Gas & Electric Co",17526575.0,1119905.0
"City of Boulder City",128516.0,5493.0
"City of Clinton",607375.0,34264.0
"City of Dover",546206.0,38953.0
"City of Groton Dept of Utils",613357.0,44293.0
"City of Idaho Falls",607617.0,28295.0
"City of Independence",825068.0,54753.0
"City of Reading",567344.0,50805.0
"City of Tupelo Water & Light D",625848.0,32570.0
"Clarksville City of",845049.0,47767.0
"Cleveland City of",897088.0,47012.0
"Cleveland Electric Illum Co",19238961.0,1622377.0
"Coast Electric Power Assn",867679.0,58769.0
"Cobb Electric Membership Corp",1832050.0,167244.0
"Colorado River Commission",810573.0,14578.0
"Colorado Springs City of",3159400.0,162994.0
"Columbus Southern Power Co",14156245.0,936378.0
"Commonwealth Edison Co",76427951.0,6050789.0
"Commonwealth Electric Co",3313509.0,409146.0
"Connecticut Light & Power Co",20895533.0,2094769.0
"Consolidated Edison Co-NY Inc",36774164.0,4853602.0
"Consumers Power Co",31932199.0,2085125.0
"Cornhusker Public Power Dist",180663.0,9974.0
"Cuivre River Electric Coop Inc",538836.0,35704.0
"Cumberland Elec Member Corp",1398331.0,81473.0
"Dakota Electric Assn",1069938.0,75240.0
"Dawson County Public Pwr Dist",241507.0,12697.0
"Dayton Power & Light Company",13257930.0,912746.0
"Decatur City of",1417312.0,60349.0
"Delaware Electric Coop Inc",607288.0,55685.0
"Delmarva Power & Light Co",10025263.0,681247.0
"Detroit Edison Co",42929489.0,3393403.0
"Duck River Elec Member Corp",1043201.0,64428.0
"Duke Power Co",65687695.0,3673926.0
"Duquesne Light Company",12109484.0,1080698.0
"East Central Electric Assn",474879.0,33566.0
"El Paso Electric Co",991510.0,84849.0
"Electric Energy Inc",12880400.0,238689.0
"Empire District Electric Co",2791502.0,139734.0
"Fairbanks City of",149996.0,15441.0
"Fayetteville Public Works Comm",1711547.0,116023.0
"First Electric Coop Corp",1033494.0,64703.0
"Florence City of",993212.0,60118.0
"Florida Power & Light Co",73607621.0,5042466.0
"Florida Power Corp",27675218.0,1908004.0
"Fort Collins Lgt & Pwr Utility",909327.0,46593.0
"Fremont City of",315338.0,13813.0
"Georgia Power Co",59240812.0,3691649.0
"Gibson County Elec Member Corp",667223.0,40307.0
"Golden Valley Elec Assn Inc",524576.0,46819.0
"Grand Island City of",513351.0,24376.0
"Granite State Electric Co",680247.0,61256.0
"Green Mountain Power Corp",1691871.0,131444.0
"Green River Electric Corp",4070399.0,140893.0
"Greeneville City of",906102.0,44900.0
"Gulf Power Company",8165244.0,483116.0
"Gulf States Utilities Co",28897235.0,1657209.0
"Hawaii Electric Light Co Inc",835666.0,128258.0
"Hawaiian Electric Co Inc",6797365.0,652442.0
"Henderson-Union Rural E C C",2515149.0,98494.0
"Homer Electric Assn Inc",396911.0,36248.0
"Houston Lighting & Power Co",60448978.0,3934381.0
"Huntsville City of",3709302.0,191030.0
"IES Utilities Inc",8723854.0,497274.0
"Idaho Power Co",11622196.0,434691.0
"Illinois Power Co",17084405.0,1170883.0
"Indiana Michigan Power Co",15620018.0,880661.0
"Indianapolis Power & Light Co",12654164.0,633804.0
"Intercounty Electric Coop Assn",363734.0,24957.0
"Intermountain Rural Elec Assn",845297.0,66446.0
"Interstate Power Co",3935655.0,183648.0
"Iowa-Illinois Gas&Electric Co",3243445.0,203260.0
"Jackson Electric Member Corp",1989598.0,150447.0
"Jersey Central Power&Light Co",17429215.0,1917457.0
"Joe Wheeler Elec Member Corp",754399.0,48312.0
"Johnson City City of",1537875.0,81844.0
"Jones-Onslow Elec Member Corp",589270.0,55060.0
"Kansas City City of",2061806.0,105869.0
"Kansas City Power & Light Co",11559980.0,780619.0
"Kentucky Power Co",5944280.0,248865.0
"Kentucky Utilities Co",13014713.0,522847.0
"Ketchikan Public Utilities",139131.0,12180.0
"Kingsport Power Co",1871889.0,81378.0
"Knoxville City of",4769681.0,261622.0
"Kodiak Electric Assn Inc",115821.0,17030.0
"Lansing Board of Water & Light",2283167.0,126018.0
"Lenoir City City of",1028769.0,59700.0
"Lincoln City of",2263300.0,113089.0
"Long Island Lighting Co",16018744.0,2451431.0
"Los Angeles City of",20399592.0,1900475.0
"Louisiana Power & Light Co",29063595.0,1626495.0
"Louisville Gas & Electric Co",9967302.0,511188.0
"Loup River Public Power Dist",617229.0,25298.0
"Lower Valley Power & Light Inc",399026.0,21393.0
"Maine Public Service Company",502232.0,47382.0
"Massachusetts Electric Co",15719770.0,1466851.0
"Matanuska Electric Assn Inc",426282.0,42861.0
"Maui Electric Co Ltd",960117.0,119804.0
"McKenzie Electric Coop Inc",265204.0,15387.0
"Memphis City of",11907399.0,667984.0
"Middle Tennessee E M C",2684604.0,140540.0
"Midwest Energy, Inc",738572.0,54030.0
"Midwest Power System Inc",9681125.0,592240.0
"Minnesota Power & Light Co",8382002.0,342163.0
"Mississippi Power & Light Co",10480584.0,797651.0
"Mississippi Power Co",7907979.0,395123.0
"Monongahela Power Co",8639556.0,473489.0
"Montana Power Co",7346198.0,343890.0
"Montana-Dakota Utilities Co",1955135.0,123207.0
"Moon Lake Electric Assn Inc",362251.0,22527.0
"Narragansett Electric Co",4746706.0,476663.0
"Nashville City of",10477076.0,557519.0
"Nebraska Public Power District",2755396.0,151424.0
"Nevada Power Co",11583915.0,743937.0
"New Hampshire Elec Coop, Inc",586874.0,75657.0
"New Orleans Public Service Inc",5398888.0,388697.0
"Newport Electric Corp",525216.0,58921.0
"Niagara Mohawk Power Corp",33782360.0,3169442.0
"Nodak Rural Electric Coop Inc",497518.0,25377.0
"Norris Public Power District",403607.0,21507.0
"Northeast Oklahoma Electric Co",350858.0,25539.0
"Northern Indiana Pub Serv Co",14972228.0,962937.0
"Northern States Power Co",32958696.0,1867366.0
"Northwestern Public Service Co",1018509.0,68777.0
"Ohio Edison Co",21703948.0,1864830.0
"Ohio Power Co",30725736.0,1262271.0
"Ohio Valley Electric Corp",15471473.0,285214.0
"Oklahoma Electric Coop, Inc",537600.0,37893.0
"Oklahoma Gas & Electric Co",19709443.0,1133511.0
"Oliver-Mercer Elec Coop, Inc",168903.0,10027.0
"Omaha Public Power District",7066938.0,399311.0
"Otter Tail Power Co",3152874.0,173859.0
"PUD No 1 of Clark County",3477969.0,139759.0
"PUD No 1 of Snohomish County",5771539.0,267054.0
"Pacific Gas & Electric Co",71510114.0,7547554.0
"Pacificorp dba Pacific Pwr & L",39219932.0,1830528.0
"Palmetto Electric Coop, Inc",807004.0,52751.0
"Pennsylvania Power & Light Co",30921369.0,2237784.0
"Philadelphia Electric Co",32778330.0,3225071.0
"Pierre Municipal Electric",147053.0,6533.0
"Portland General Electric Co",16829878.0,835358.0
"Potomac Edison Co",9704357.0,503714.0
"Potomac Electric Power Co",23183288.0,1669745.0
"Poudre Valley R E A, Inc",560319.0,30274.0
"Power Authority of State of NY",12998706.0,792675.0
"Provo City Corporation",566893.0,35258.0
"Public Service Co of Colorado",20227996.0,1216657.0
"Public Service Co of IN Inc",21428177.0,945976.0
"Public Service Co of NH",6422075.0,754977.0
"Public Service Co of NM",5904859.0,509193.0
"Public Service Co of Oklahoma",13631705.0,693294.0
"Public Service Electric&Gas Co",38523473.0,3662117.0
"Puget Sound Power & Light Co",19010492.0,1081100.0
"Rappahannock Electric Coop",1725669.0,113135.0
"Rochester Public Utilities",905222.0,66518.0
"Rosebud Electric Coop Inc",75997.0,3836.0
"Rutherford Elec Member Corp",782189.0,63145.0
"Sacramento Municipal Util Dist",8459155.0,652563.0
"Salt River Proj Ag I & P Dist",16756817.0,1277868.0
"San Antonio City of",12983235.0,737165.0
"Savannah Electric & Power Co",3263088.0,205355.0
"Seattle City of",8874039.0,332801.0
"Sierra Pacific Power Co",6151428.0,440052.0
"Singing River Elec Power Assn",856594.0,57703.0
"Sioux Valley Empire E A Inc",228289.0,16457.0
"South Carolina Electric&Gas Co",15815504.0,919880.0
"South Carolina Pub Serv Auth",7421349.0,297694.0
"South Kentucky Rural E C C",664290.0,41703.0
"Southern California Edison Co",71662755.0,7440757.0
"Southern Nebraska Rural P P D",394376.0,22969.0
"Southern Pine Elec Power Assn",1315352.0,80657.0
"Southwest Tennessee E M C",757588.0,47066.0
"Southwestern Electric Power Co",2993745.0,148152.0
"Southwestern Public Service Co",2948596.0,138498.0
"Springfield City of",2164329.0,101639.0
"St Joseph Light & Power Co",1425173.0,74377.0
"Tacoma City of",5332898.0,178694.0
"Tampa Electric Co",13931660.0,1016222.0
"Tennessee Valley Authority",11350412.0,349326.0
"Texas Utilities Electric Co",83859118.0,5522781.0
"Texas-New Mexico Power Co",1469502.0,75611.0
"Tri-County Electric Assn Inc",1102382.0,55533.0
"Tucson Electric Power Co",6923198.0,608553.0
"Turner-Hutchinsin El Coop, Inc",78264.0,5174.0
"U S Bureau of Indian Affairs",244328.0,13155.0
"Union Electric Company",26491805.0,1710624.0
"Union Light Heat & Power Co",3053732.0,174855.0
"United Illuminating Co",5363446.0,631981.0
"Upper Cumberland E M C",733387.0,44296.0
"UtiliCorp United Inc",6429830.0,420970.0
"Verdigris Valley Electric Coop",325039.0,26151.0
"Verendrye Electric Coop Inc",269268.0,14244.0
"Virginia Electric & Power Co",58606628.0,3752544.0
"Volunteer Electric Coop",1445097.0,88026.0
"Wallingford Town of",533393.0,41889.0
"Warren Rural Elec Coop Corp",1004050.0,63430.0
"Washington Water Power Co",7253547.0,339342.0
"Watertown Municipal Utils Dept",227699.0,8831.0
"Wells Rural Electric Co",436727.0,17195.0
"West Penn Power Co",16842528.0,921388.0
"West Plains Electric Coop Inc",191072.0,13351.0
"West River Electric Assn, Inc",125054.0,10207.0
"Western Massachusetts Elec Co",3604317.0,376465.0
"Western Resources Inc",15886859.0,998555.0
"Wisconsin Electric Power Co",21126327.0,1193616.0
"Wisconsin Power & Light Co",8055627.0,430160.0
"Wisconsin Public Service Corp",8241235.0,412913.0
"Wright-Hennepin Coop Elec Assn",429425.0,32067.0
"Yellowstone Vlly Elec Coop Inc",151235.0,8860.0
,,
,,
,,
1995,sales (MwH),revenue ($1000)
"4-County Electric Power Assn",794078.0,50158.0
"Alabama Power Co",44475876.0,2486737.0
"Alaska Electric Light&Power Co",291826.0,22621.0
"Anchorage City of",830770.0,68846.0
"Anoka Electric Coop",1184919.0,80652.0
"Appalachian Electric Coop",727060.0,42952.0
"Appalachian Power Co",26165484.0,1255296.0
"Arizona Public Service Co",17746020.0,1502612.0
"Arkansas Power & Light Co",16690458.0,1241273.0
"Arkansas Valley Elec Coop Corp",703335.0,39589.0
"Atlantic City Electric Company",8052863.0,893872.0
"Baker Electric Coop Inc",137824.0,9123.0
"Baltimore Gas & Electric Co",28191647.0,2043118.0
"Bangor Hydro-Electric Co",1725387.0,163281.0
"Berkeley Electric Coop Inc",989645.0,79224.0
"Black Hills Corp",1332593.0,86689.0
"Blackstone Valley Electric Co",1267692.0,132394.0
"Bonneville Power Admin",21618770.0,576865.0
"Boston Edison Co",12901109.0,1426082.0
"Bountiful City Light & Power",242985.0,12371.0
"Bristol City of",822683.0,42255.0
"Brookings City of",192825.0,8301.0
"Brunswick Electric Member Corp",628477.0,64175.0
"Burlington City of",323418.0,35432.0
"Carolina Power & Light Co",36950304.0,2399303.0
"Carroll Electric Coop Corp",836344.0,52474.0
"Cass County Electric Coop Inc",484229.0,23999.0
"Central Illinois Light Company",5663342.0,318338.0
"Central Illinois Pub Serv Co",8227900.0,537352.0
"Central Louisiana Elec Co Inc",6505025.0,351941.0
"Central Maine Power Co",8860333.0,850169.0
"Central Power & Light Co",18593537.0,1110458.0
"Central Vermont Pub Serv Corp",2075297.0,213843.0
"Chattanooga City of",5314742.0,279472.0
"Cheyenne Light Fuel & Power Co",805087.0,36877.0
"Chugach Electric Assn Inc",994508.0,83997.0
"Cincinnati Gas & Electric Co",18083891.0,1150536.0
"Citizens Utilities Company",1218704.0,110468.0
"City of Boulder City",116996.0,5165.0
"City of Clinton",658839.0,36971.0
"City of Dover",563631.0,43043.0
"City of Eugene",2232309.0,88675.0
"City of Groton Dept of Utils",596491.0,41818.0
"City of Idaho Falls",596301.0,27875.0
"City of Independence",844840.0,56413.0
"City of Newark",291457.0,21269.0
"City of Reading",574356.0,50781.0
"City of Tupelo Water & Light D",648462.0,34287.0
"Clarksville City of",928804.0,52289.0
"Cleveland City of",919009.0,48163.0
"Cleveland Electric Illum Co",19553087.0,1685976.0
"Coast Electric Power Assn",919895.0,61686.0
"Cobb Electric Membership Corp",2093785.0,179272.0
"Colorado River Commission",862823.0,13391.0
"Colorado Springs City of",3267029.0,163603.0
"Columbus Southern Power Co",14832669.0,975929.0
"Commonwealth Edison Co",79940292.0,6634832.0
"Commonwealth Electric Co",3338268.0,408575.0
"Connecticut Light & Power Co",20855294.0,2167375.0
"Consolidated Edison Co-NY Inc",36958368.0,5005860.0
"Consumers Power Co",33266224.0,2180578.0
"Cornhusker Public Power Dist",210145.0,11738.0
"Cuivre River Electric Coop Inc",586861.0,36252.0
"Cumberland Elec Member Corp",1492145.0,87086.0
"Dakota Electric Assn",1153616.0,76955.0
"Dawson County Public Pwr Dist",259761.0,13190.0
"Dayton Power & Light Company",14077580.0,962532.0
"Decatur City of",1461747.0,62312.0
"Delaware Electric Coop Inc",633241.0,57741.0
"Delmarva Power & Light Co",10653275.0,747495.0
"Detroit Edison Co",44659437.0,3482678.0
"Duck River Elec Member Corp",1107709.0,68235.0
"Duke Power Co",67856306.0,3800166.0
"Duquesne Light Company",12415258.0,1107398.0
"East Central Electric Assn",534378.0,36766.0
"Eastern Maine Electric Coop",109175.0,11506.0
"El Paso Electric Co",1091632.0,89383.0
"Electric Energy Inc",8977095.0,160158.0
"Empire District Electric Co",2960160.0,153678.0
"Exeter & Hampton Electric Co",500741.0,48168.0
"Fairbanks City of",149538.0,15549.0
"Fayetteville Public Works Comm",1798040.0,119440.0
"First Electric Coop Corp",1110754.0,71204.0
"Florence City of",1049005.0,63511.0
"Florida Power & Light Co",76246928.0,5325258.0
"Florida Power Corp",29532355.0,2073840.0
"Fort Collins Lgt & Pwr Utility",950695.0,48882.0
"Fremont City of",329501.0,14476.0
"Georgia Power Co",62932459.0,3972188.0
"Gibson County Elec Member Corp",683982.0,41700.0
"Golden Valley Elec Assn Inc",548236.0,48431.0
"Grand Island City of",513012.0,24565.0
"Granite State Electric Co",683024.0,62504.0
"Green Mountain Power Corp",1723120.0,140937.0
"Green River Electric Corp",4336167.0,143295.0
"Greeneville City of",938943.0,47267.0
"Gulf Power Company",8534484.0,519013.0
"Gulf States Utilities Co",29716261.0,1637510.0
"Hawaii Electric Light Co Inc",846565.0,135108.0
"Hawaiian Electric Co Inc",6962794.0,712380.0
"Henderson-Union Rural E C C",2684616.0,94718.0
"Homer Electric Assn Inc",418034.0,37094.0
"Houston Lighting & Power Co",60214694.0,3496736.0
"Huntsville City of",3894904.0,199517.0
"IES Utilities Inc",9283796.0,534423.0
"Idaho Power Co",11395255.0,438527.0
"Illinois Power Co",17594558.0,1238973.0
"Indiana Michigan Power Co",16121576.0,909826.0
"Indianapolis Power & Light Co",13056481.0,657234.0
"Intermountain Rural Elec Assn",904949.0,70761.0
"Interstate Power Co",4102576.0,196305.0
"Iowa-Illinois Gas&Electric Co",1587079.0,94626.0
"Jackson Electric Member Corp",2214051.0,165082.0
"Jersey Central Power&Light Co",17387498.0,1951933.0
"Joe Wheeler Elec Member Corp",809353.0,52402.0
"Johnson City City of",1636444.0,87305.0
"Jones-Onslow Elec Member Corp",637712.0,58907.0
"Kansas City City of",2071790.0,109936.0
"Kansas City Power & Light Co",11941426.0,805480.0
"Kentucky Power Co",6316807.0,263646.0
"Kentucky Utilities Co",13680772.0,564231.0
"Ketchikan Public Utilities",134893.0,12313.0
"Kingsport Power Co",1835697.0,79441.0
"Knoxville City of",4939292.0,270942.0
"Kodiak Electric Assn Inc",121676.0,18232.0
"Lansing Board of Water & Light",2338071.0,129365.0
"Lenoir City City of",1104915.0,64085.0
"Lincoln City of",2385582.0,118502.0
"Long Island Lighting Co",15955122.0,2451615.0
"Los Angeles City of",20804722.0,1911431.0
"Louisiana Power & Light Co",30051282.0,1609768.0
"Louisville Gas & Electric Co",10465997.0,526590.0
"Loup River Public Power Dist",700607.0,29096.0
"Lower Valley Power & Light Inc",415954.0,24199.0
"Maine Public Service Company",477892.0,45943.0
"Massachusetts Electric Co",15770779.0,1484620.0
"Matanuska Electric Assn Inc",438015.0,42486.0
"Maui Electric Co Ltd",999116.0,127284.0
"McKenzie Electric Coop Inc",249593.0,14843.0
"Memphis City of",12401417.0,691374.0
"MidAmerican Energy Company",7930626.0,537644.0
"Middle Tennessee E M C",2840449.0,149519.0
"Midwest Energy, Inc",729874.0,53168.0
"Midwest Power System Inc",4667739.0,294242.0
"Minnesota Power & Light Co",9250576.0,369377.0
"Mississippi Power & Light Co",10980702.0,804853.0
"Mississippi Power Co",8134786.0,410181.0
"Monongahela Power Co",9040586.0,509733.0
"Montana Power Co",7278406.0,354607.0
"Montana-Dakota Utilities Co",1993692.0,124431.0
"Moon Lake Electric Assn Inc",328147.0,20988.0
"Narragansett Electric Co",4724736.0,491593.0
"Nashville City of",10926938.0,586304.0
"Nebraska Public Power District",2794056.0,160914.0
"Nevada Power Co",11698389.0,732851.0
"New Hampshire Elec Coop, Inc",589853.0,78428.0
"New Orleans Public Service Inc",5650201.0,361572.0
"New York State Gas & Electric",13092562.0,1526516.0
"Newport Electric Corp",514166.0,59285.0
"Niagara Mohawk Power Corp",33010215.0,3083456.0
"Nodak Rural Electric Coop Inc",528540.0,27344.0
"Norris Public Power District",408694.0,22760.0
"Northeast Oklahoma Electric Co",354774.0,25977.0
"Northern Indiana Pub Serv Co",15350312.0,966772.0
"Northern States Power Co",34349312.0,1969591.0
"Northwestern Public Service Co",1071328.0,71193.0
"Ohio Edison Co",22658891.0,1929272.0
"Ohio Power Co",31595188.0,1336121.0
"Ohio Valley Electric Corp",14617022.0,257608.0
"Oklahoma Electric Coop, Inc",550181.0,38740.0
"Oklahoma Gas & Electric Co",19964357.0,1085901.0
"Oliver-Mercer Elec Coop, Inc",171709.0,9983.0
"Omaha Public Power District",7456746.0,401847.0
"Otter Tail Power Co",3269858.0,178331.0
"PUD No 1 of Clark County",3558764.0,141258.0
"PUD No 1 of Snohomish County",5682565.0,264548.0
"Pacific Gas & Electric Co",72311947.0,7569508.0
"Pacificorp dba Pacific Pwr & L",38738753.0,1803186.0
"Palmetto Electric Coop, Inc",878612.0,57074.0
"Pennsylvania Power & Light Co",31278519.0,2255327.0
"Philadelphia Electric Co",33611010.0,3332550.0
"Pierre Municipal Electric",146337.0,6860.0
"Portland General Electric Co",17067007.0,876749.0
"Potomac Edison Co",12096660.0,666372.0
"Potomac Electric Power Co",23444833.0,1696673.0
"Poudre Valley R E A, Inc",578055.0,32389.0
"Power Authority of State of NY",12985393.0,801623.0
"Provo City Corporation",563749.0,36054.0
"Public Service Co of Colorado",20748028.0,1275931.0
"Public Service Co of IN Inc",22709682.0,1030078.0
"Public Service Co of NH",6440148.0,790181.0
"Public Service Co of NM",6029384.0,485571.0
"Public Service Co of Oklahoma",13566741.0,642404.0
"Public Service Electric&Gas Co",39009983.0,3889364.0
"Puget Sound Power & Light Co",19293557.0,1125633.0
"Rappahannock Electric Coop",1739075.0,115786.0
"Rochester Public Utilities",920389.0,67576.0
